"城市","最高景点评分","公共汽车数量","出租汽车数量"
"七台河","5","499","1000"
"万宁","5","1800","3082"
"三亚","5","1158","2543"
"三明","5","432","404"
"三沙","5","1800","3082"
"三门峡","5","402","798"
"上海","5","17899","39962"
"上饶","5","661","615"
"东方","4.6","1800","3082"
"东莞","5","1800","3082"
"东营","5","1387","3425"
"中卫","5","277","1138"
"中山","5","1800","3082"
"临汾","5","423","1862"
"临沂","5","2268","2750"
"临沧","5","93","480"
"临高","5","1800","3082"
"丹东","5","975","1932"
"丽水","5","551","409"
"丽江","5","418","776"
"乌兰察布","5","327","2177"
"乌鲁木齐","5","4411","13138"
"乐东","5","1800","3082"
"乐山","5","607","1069"
"九江","5","641","1537"
"云浮","5","122","105"
"五家渠","5","1800","3082"
"五指山","5","1800","3082"
"亳州","5","746","652"
"仙桃","5","1800","3082"
"伊春","5","430","2734"
"伊犁","5","1800","3082"
"佛山","5","6831","3302"
"佳木斯","5","584","2559"
"保亭","5","1800","3082"
"保定","5","1459","3728"
"保山","5","274","450"
"信阳","5","1149","3840"
"儋州","5","1800","3082"
"克孜勒苏柯尔克孜","5","1800","3082"
"克拉玛依","5","523","1519"
"六安","5","1160","2019"
"六盘水","5","962","2362"
"兰州","5","3109","10566"
"兴安盟","5","1800","3082"
"内江","5","1800","3082"
"凉山","5","1800","3082"
"包头","5","1315","5827"
"北京","5","23010","71517"
"北屯","4.9921","1800","3082"
"北海","5","602","555"
"十堰","5","1269","961"
"南京","5","8700","12083"
"南充","5","845","1207"
"南宁","5","3834","6282"
"南昌","5","3916","5453"
"南通","5","2169","1468"
"南阳","5","1001","1580"
"博尔塔拉","5","1800","3082"
"厦门","5","4387","5621"
"双河","4.9921","1800","3082"
"双鸭山","5","500","1100"
"可克达拉","4.6","1800","3082"
"台州","5","1451","1851"
"合肥","5","6059","5890"
"吉安","5","466","393"
"吉林市","5","1800","3082"
"吐鲁番","5","30","763"
"吕梁","5","268","453"
"吴忠","5","343","1042"
"周口","5","711","928"
"呼伦贝尔","5","625","3232"
"呼和浩特","5","3178","6568"
"和田","5","1800","3082"
"咸宁","5","352","656"
"咸阳","5","748","1719"
"哈密","5","302","1088"
"哈尔滨","5","7402","17980"
"唐山","5","2244","4985"
"商丘","5","1987","2875"
"商洛","5","103","319"
"喀什","5","1800","3082"
"嘉兴","5","1251","1073"
"嘉峪关","5","153","807"
"四平","5","596","4724"
"固原","5","194","2602"
"图木舒克","5","1800","3082"
"坝上","4.5","1800","3082"
"塔城","5","1800","3082"
"大兴安岭","5","1800","3082"
"大同","5","1096","4955"
"大庆","5","1932","4680"
"大理","5","1800","3082"
"大连","5","5683","11632"
"天水","5","621","1590"
"天津","5","12746","31940"
"天门","5","1800","3082"
"太原","5","3533","8292"
"太湖","5","1800","3082"
"威海","5","2257","2488"
"娄底","5","423","950"
"孝感","5","402","900"
"宁德","5","404","951"
"宁波","5","6147","4780"
"安庆","5","554","1782"
"安康","5","255","726"
"安阳","5","1097","1355"
"安顺","5","773","1064"
"定安","5","1800","3082"
"定西","5","118","598"
"宜宾","5","886","1448"
"宜昌","5","780","1857"
"宜春","5","549","504"
"宝鸡","5","1067","1862"
"宣城","5","385","999"
"宿州","5","492","1110"
"宿迁","5","1168","770"
"屯昌","4.3","1800","3082"
"山南","5","40","84"
"岳阳","5","982","1742"
"崇左","5","78","51"
"巢湖","5","1800","3082"
"巴中","5","232","771"
"巴彦淖尔","5","184","1238"
"巴音郭楞","5","1800","3082"
"常州","5","2395","3319"
"常德","5","792","1139"
"平顶山","5","1030","2013"
"广元","5","392","638"
"广安","5","229","1482"
"广州","5","15388","20222"
"庆阳","5","144","1079"
"廊坊","5","739","8677"
"延安","5","507","1100"
"延边","5","1800","3082"
"开封","5","1068","3316"
"张家口","5","1417","4204"
"张家界","5","410","863"
"张掖","5","258","1225"
"徐州","5","2656","4319"
"德宏","5","1800","3082"
"德州","5","704","2405"
"德阳","5","570","892"
"忻州","5","230","712"
"怀化","5","315","800"
"怒江","5","1800","3082"
"恩施","5","1800","3082"
"惠州","5","2139","1730"
"成都","5","15948","13044"
"扬州","5","2651","2461"
"承德","5","785","2470"
"抚州","5","636","531"
"抚顺","5","1007","4106"
"拉萨","5","548","1670"
"揭阳","5","540","102"
"攀枝花","5","719","1415"
"文山","5","1800","3082"
"新乡","5","1036","1768"
"新余","5","674","679"
"无锡","5","2995","4040"
"日喀则","5","1800","3082"
"日照","5","1054","1068"
"昆明","5","6154","8137"
"昆玉","4.9921","1800","3082"
"昌吉","5","1800","3082"
"昌江","5","1800","3082"
"昭通","5","299","1533"
"晋中","5","687","1330"
"晋城","5","595","1453"
"普洱","5","177","489"
"景德镇","5","372","762"
"曲靖","5","493","1719"
"朔州","5","280","1274"
"朝阳","5","313","1968"
"本溪","5","643","2784"
"来宾","5","339","442"
"杭州","5","9744","13761"
"松原","5","474","2177"
"林芝","5","24","140"
"枣庄","5","1568","834"
"柳州","5","1206","2998"
"株洲","5","1444","2215"
"桂林","5","1118","2205"
"梅州","5","1592","387"
"梧州","5","581","620"
"楚雄州","5","1800","3082"
"榆林","5","356","1061"
"武功山","4.8","1800","3082"
"武威","5","410","1340"
"武汉","5","9813","17797"
"毕节","5","436","881"
"永州","5","756","594"
"汉中","5","447","649"
"汕头","5","2332","1143"
"汕尾","5","652","184"
"江门","5","1105","379"
"沈阳","5","5904","17544"
"沧州","5","1382","2458"
"河池","5","225","475"
"河源","5","281","306"
"泉州","5","1840","1990"
"泰安","5","2403","1292"
"泰州","4.9921","1284","813"
"泸州","5","1496","1574"
"洛阳","5","2848","4268"
"济南","5","8168","11019"
"济宁","5","2786","2060"
"济源","5","1800","3082"
"海口","5","2122","2129"
"淄博","5","2683","6110"
"淮北","5","408","1637"
"淮南","5","1003","2910"
"淮安","5","2052","1473"
"深圳","5","38608","3082"
"清远","4.7","656","308"
"温州","5","2534","3870"
"渭南","5","380","920"
"湖州","5","1020","923"
"湘潭","5","1087","1344"
"湘西","5","1800","3082"
"湛江","5","788","1031"
"滁州","5","628","1357"
"滨州","5","472","720"
"漯河","5","1800","3082"
"漳州","5","665","943"
"潍坊","5","1552","2283"
"潜江","5","1800","3082"
"潮州","5","331","632"
"澄迈","5","1800","3082"
"濮阳","5","940","1745"
"烟台","5","2305","2182"
"焦作","5","832","1398"
"牡丹江","5","810","2919"
"玉林","5","271","638"
"玉溪","5","568","722"
"珠海","5","2437","3618"
"琼中","5","1800","3082"
"琼海","5","1800","3082"
"甘孜","5","1800","3082"
"白城","5","206","1815"
"白山","5","366","1402"
"白沙","4.6","1800","3082"
"白银","5","226","1298"
"百色","5","214","419"
"益阳","5","1418","867"
"盘锦","5","718","3281"
"眉山","5","513","527"
"石嘴山","5","240","2268"
"石家庄","5","3886","7895"
"石河子","5","1800","3082"
"神农架","5","1800","3082"
"福州","5","4852","6605"
"秦皇岛","5","1390","3815"
"红河","5","1800","3082"
"绍兴","5","2312","1746"
"绥化","5","502","2344"
"绵阳","5","1309","2565"
"聊城","5","1681","1722"
"肇庆","5","766","161"
"自贡","5","1009","1108"
"舟山","5","781","922"
"芜湖","5","1375","3700"
"苏州","5","5995","5638"
"茂名","5","661","497"
"荆州","5","970","1988"
"莆田","5","1155","810"
"莱芜","4.5","1800","3082"
"菏泽","5","1800","3082"
"萍乡","5","528","700"
"营口","5","878","3243"
"葫芦岛","5","1137","5247"
"蚌埠","5","1545","2277"
"衡水","5","1048","1470"
"衡阳","5","1798","1110"
"衢州","5","295","521"
"襄阳","5","1487","2200"
"西双版纳","5","1800","3082"
"西安","5","10179","14763"
"许昌","5","1348","1396"
"贵港","5","498","517"
"贵阳","5","3186","11682"
"贺州","5","264","240"
"资阳","5","242","438"
"赣州","5","1050","1230"
"赤峰","5","683","3784"
"辽源","5","355","1201"
"辽阳","5","590","2611"
"达州","5","507","504"
"运城","5","644","1801"
"连云港","5","1387","1811"
"迪庆","5","1800","3082"
"通化","5","394","1504"
"通辽","5","457","3059"
"遂宁","5","271","769"
"遵义","5","1034","3174"
"邢台","5","1434","2863"
"那曲","5","18","287"
"邵阳","5","703","1100"
"郑州","4.8","6316","10908"
"郴州","5","4344","1220"
"鄂尔多斯","5","571","3348"
"鄂州","5","392","641"
"酒泉","5","220","860"
"重庆","5","9334","15079"
"金华","5","1101","943"
"金昌","5","156","1079"
"钦州","5","268","380"
"铁岭","5","327","2372"
"铁门关","4.9921","1800","3082"
"铜仁","5","206","1006"
"铜川","5","357","1041"
"铜陵","5","625","1584"
"银川","5","1756","3082"
"锡林郭勒盟","5","1800","3082"
"长沙","5","9596","7795"
"长治","5","853","2469"
"长白山","4.9921","1800","3082"
"阜新","5","414","2784"
"阜阳","5","594","1586"
"防城港","5","284","337"
"阳江","5","334","75"
"阳泉","5","944","1885"
"阿克苏","5","1800","3082"
"阿勒泰","5","1800","3082"
"阿坝","5","1800","3082"
"阿拉善盟","4.9921","1800","3082"
"阿拉尔","5","1800","3082"
"阿里","5","1800","3082"
"陇南","5","1409","676"
"陵水","5","1800","3082"
"随州","5","363","547"
"雄安新区","4.8","1800","3082"
"雅安","5","295","546"
"青岛","4.8","8489","10877"
"青木川","5","1800","3082"
"鞍山","5","1800","3082"
"韶关","5","1800","3082"
"马鞍山","5","741","2348"
"驻马店","5","1007","1548"
"鸡西","5","683","2915"
"鹤壁","5","700","673"
"鹤岗","5","654","2037"
"鹰潭","5","264","312"
"黄冈","5","363","693"
"黄山","5","315","625"
"黄石","5","1000","1022"
"黑河","5","99","967"
"黔东南","5","1800","3082"
"黔南","5","1800","3082"
"黔西南","5","1800","3082"
"齐齐哈尔","5","895","2019"
"龙岩","5","547","380"
